Epoch,Loss,Training Accuracy,Testing Accuracy,Evaluation Time
2,3.3643,17.99,20.95,0.72
4,2.9201,26.55,25.97,1.46
6,2.6531,31.85,28.86,2.14
8,2.4491,35.7,30.62,2.86
10,2.2738,39.55,31.45,3.6
12,2.1078,43.01,32.48,4.31
14,1.9546,46.27,32.11,4.96
16,1.797,50.09,31.74,5.71
18,1.6587,53.18,32.13,6.42
20,1.5348,56.01,31.62,7.32
22,1.3906,59.71,30.95,8.04
24,1.2914,62.23,31.45,8.77
26,1.3131,61.51,31.34,9.49
28,1.1029,66.91,31.08,10.14
30,1.0953,67.18,29.29,10.86
32,1.1332,67.08,31.15,11.55
34,0.9979,69.99,30.98,12.27
36,0.7936,75.33,30.25,12.95
38,0.7711,76.13,29.97,13.69
40,0.7176,77.37,29.85,14.38
42,0.6853,78.24,29.82,15.13
44,0.6666,79.06,30.07,15.84
46,0.6029,80.71,30.22,16.59
48,0.5766,81.44,30.06,17.34
50,0.5375,82.82,30.04,18.1
52,0.5153,83.48,29.75,18.85
54,0.5041,83.63,29.66,19.58
56,0.455,85.07,28.98,20.25
58,0.4458,85.63,30.26,20.93
60,0.4513,85.21,29.4,21.63
62,0.3963,87.13,29.78,22.33
64,0.3955,87.04,29.83,23.08
66,0.3845,87.41,29.33,23.78
68,0.3933,87.08,29.4,24.44
70,0.3616,88.03,29.32,25.12
72,0.3519,88.55,29.73,25.81
74,0.3486,88.61,30.1,26.53
76,0.3255,89.21,29.62,27.2
78,0.3183,89.47,29.56,27.89
80,0.3061,89.87,29.8,28.52
82,0.309,89.85,29.62,29.2
84,0.2856,90.56,29.45,29.86
86,0.2806,90.76,29.55,30.61
88,0.2697,91.21,29.34,31.28
90,0.2911,90.47,30.1,32.0
92,0.2647,91.3,29.92,32.76
94,0.2491,91.9,29.85,33.51
96,0.2514,91.77,29.91,34.24
98,0.2528,91.64,29.65,34.99
100,0.2436,92.09,30.1,35.71
