Epoch,Loss,Training Accuracy,Testing Accuracy,Evaluation Time (minutes)
2,3.5033,15.52,17.16,0.72
4,3.1093,22.65,22.82,1.4
6,2.8571,27.71,26.29,2.09
8,2.6518,31.8,28.69,3.51
10,2.4892,35.07,29.26,4.25
12,2.3617,37.81,30.35,4.95
14,2.2413,40.28,30.72,5.63
16,2.1312,42.68,31.64,6.34
18,2.0325,44.51,31.43,7.06
20,1.9375,47.07,32.14,7.66
22,1.8537,48.82,31.24,8.34
24,1.7706,50.72,30.75,9.03
26,1.711,52.02,30.97,9.77
28,1.6372,53.64,30.65,10.45
30,1.588,54.66,30.29,11.1
32,1.5196,56.52,31.2,11.82
34,1.4732,57.36,30.14,12.42
36,1.4281,58.43,30.17,13.12
38,1.3771,60.11,29.67,13.83
40,1.3464,60.64,29.97,14.52
42,1.3013,61.55,30.05,15.25
44,1.2705,62.5,29.39,15.92
46,1.2378,63.15,29.14,18.2
48,1.1959,64.31,29.32,18.84
50,1.1746,64.76,29.16,19.43
52,1.1398,65.72,29.16,20.12
54,1.1158,66.37,29.34,20.76
56,1.0892,67.16,29.1,21.35
58,1.0621,67.73,28.76,21.99
60,1.0388,68.29,28.83,22.72
62,1.0127,69.03,28.79,23.32
64,0.996,69.47,28.35,24.0
66,0.9671,70.34,28.26,24.71
68,0.9601,70.54,28.27,25.42
70,0.9376,70.97,28.27,26.12
72,0.9124,71.87,28.38,26.75
74,0.8942,72.21,28.49,27.48
76,0.8856,72.43,28.23,28.17
78,0.8685,73.01,27.96,28.88
80,0.8529,73.26,28.42,29.59
82,0.8393,73.64,28.25,30.3
84,0.8086,74.53,28.53,30.97
86,0.8087,74.75,27.79,31.69
88,0.7891,75.29,28.06,32.41
90,0.78,75.23,28.57,33.09
92,0.767,75.85,27.92,33.79
94,0.7628,75.87,28.01,34.45
96,0.7354,76.68,28.03,35.1
98,0.7388,76.48,27.84,35.79
100,0.725,76.9,27.93,36.47
